"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5107156";"      Reserva do Cabaçal";"100,00";"48,00";"100,00";"45,54";"100,00";"44,07";"100,00";"55,32";"100,00";"48,78";"100,00";"49,12";"100,00";"43,11";"100,00";"43,24";"100,00";"46,51";"100,00";"47,62";"100,00";"36,36";"100,00";"43,48";"100,00";"47,06";"100,00";"41,44";"100,00";"38,46";"100,00";"50,00";"100,00";"12,50";"100,00";"9,72";"100,00";"9,72";"100,00";"13,33";"100,00";"13,33";"100,00";"13,33";"100,00";"13,33";"100,00";"-"
"MU";"5107206";"      Rio Branco";"100,00";"49,30";"100,00";"64,94";"100,00";"50,00";"100,00";"43,37";"100,00";"64,52";"100,00";"28,90";"100,00";"54,31";"100,00";"56,45";"100,00";"65,67";"100,00";"64,52";"100,00";"54,17";"100,00";"62,24";"100,00";"66,67";"100,00";"64,29";"100,00";"42,11";"100,00";"50,00";"100,00";"57,14";"100,00";"75,76";"100,00";"81,82";"100,00";"76,47";"100,00";"60,00";"100,00";"52,91";"100,00";"60,00";"100,00";"80,00"
"MU";"5107750";"      Salto do Céu";"100,00";"66,89";"100,00";"77,69";"100,00";"67,53";"100,00";"35,78";"100,00";"62,05";"100,00";"39,44";"100,00";"20,72";"100,00";"50,99";"100,00";"29,13";"100,00";"46,24";"100,00";"51,81";"100,00";"55,79";"100,00";"58,59";"100,00";"64,29";"100,00";"9,00";"100,00";"2,23";"100,00";"30,30";"100,00";"27,09";"100,00";"29,85";"100,00";"23,68";"100,00";"77,16";"100,00";"26,72";"100,00";"31,94";"100,00";"40,02"
"MU";"5107107";"      São José dos Quatro Marcos";"100,00";"45,56";"100,00";"66,78";"100,00";"72,67";"100,00";"67,00";"100,00";"61,54";"100,00";"32,21";"100,00";"35,40";"100,00";"32,79";"100,00";"71,23";"100,00";"63,16";"100,00";"43,72";"100,00";"49,50";"100,00";"51,72";"100,00";"64,38";"100,00";"64,64";"100,00";"51,02";"100,00";"5,96";"100,00";"22,31";"100,00";"6,21";"100,00";"14,45";"100,00";"14,49";"100,00";"13,04";"100,00";"10,47";"100,00";"76,47"
"ME";"5104";"  Centro-Sul Mato-grossense";"100,00";"20,11";"100,00";"20,78";"100,00";"21,66";"100,00";"21,19";"100,00";"19,74";"100,00";"18,74";"100,00";"21,50";"100,00";"24,80";"100,00";"28,15";"100,00";"25,92";"100,00";"27,25";"100,00";"23,61";"100,00";"27,62";"100,00";"27,55";"100,00";"25,84";"100,00";"23,99";"100,00";"24,00";"100,00";"25,56";"100,00";"26,94";"100,00";"28,43";"100,00";"28,28";"100,00";"26,56";"100,00";"28,97";"100,00";"30,77"
"MI";"51015";"    Alto Paraguai";"100,00";"9,98";"100,00";"14,75";"100,00";"14,68";"100,00";"7,58";"100,00";"5,54";"100,00";"5,31";"100,00";"11,48";"100,00";"16,54";"100,00";"21,36";"100,00";"19,14";"100,00";"26,01";"100,00";"17,99";"100,00";"19,40";"100,00";"20,74";"100,00";"20,65";"100,00";"25,90";"100,00";"27,25";"100,00";"31,36";"100,00";"26,44";"100,00";"30,66";"100,00";"31,53";"100,00";"34,37";"100,00";"34,58";"100,00";"36,78"
"MU";"5100508";"      Alto Paraguai";"100,00";"3,31";"100,00";"15,33";"100,00";"20,49";"100,00";"10,00";"100,00";"1,93";"100,00";"5,08";"100,00";"20,74";"100,00";"24,08";"100,00";"30,35";"100,00";"27,85";"100,00";"30,90";"100,00";"25,16";"100,00";"26,78";"100,00";"27,22";"100,00";"25,81";"100,00";"25,81";"100,00";"25,81";"100,00";"29,46";"100,00";"29,46";"100,00";"35,76";"100,00";"35,76";"100,00";"34,87";"100,00";"34,94";"100,00";"44,62"
"MU";"5101308";"      Arenápolis";"100,00";"19,54";"100,00";"2,61";"100,00";"0,93";"100,00";"2,49";"100,00";"3,40";"100,00";"1,68";"100,00";"11,85";"100,00";"34,35";"100,00";"18,54";"100,00";"10,38";"100,00";"-";"100,00";"8,04";"100,00";"28,75";"100,00";"17,13";"100,00";"8,57";"100,00";"3,89";"100,00";"8,57";"100,00";"12,39";"100,00";"12,39";"100,00";"12,39";"100,00";"35,68";"100,00";"28,55";"100,00";"39,96";"100,00";"43,44"
"MU";"5106000";"      Nortelândia";"100,00";"6,24";"100,00";"14,80";"100,00";"2,80";"100,00";"8,55";"100,00";"3,93";"100,00";"4,72";"100,00";"8,86";"100,00";"9,57";"100,00";"11,28";"100,00";"9,06";"100,00";"22,80";"100,00";"21,15";"100,00";"18,84";"100,00";"20,57";"100,00";"14,16";"100,00";"14,16";"100,00";"14,16";"100,00";"32,92";"100,00";"21,07";"100,00";"30,13";"100,00";"34,58";"100,00";"38,23";"100,00";"37,53";"100,00";"38,16"
"MU";"5108857";"      Nova Marilândia";"100,00";"12,21";"100,00";"17,32";"100,00";"25,80";"100,00";"4,88";"100,00";"6,52";"100,00";"6,59";"100,00";"7,78";"100,00";"19,59";"100,00";"27,82";"100,00";"25,42";"100,00";"32,09";"100,00";"10,16";"100,00";"15,90";"100,00";"18,73";"100,00";"18,58";"100,00";"30,22";"100,00";"29,96";"100,00";"29,96";"100,00";"30,13";"100,00";"30,74";"100,00";"21,71";"100,00";"16,80";"100,00";"17,74";"100,00";"28,27"
"MU";"5107263";"      Santo Afonso";"100,00";"12,56";"100,00";"13,99";"100,00";"14,56";"100,00";"19,70";"100,00";"18,53";"100,00";"7,02";"100,00";"10,40";"100,00";"12,36";"100,00";"22,85";"100,00";"28,16";"100,00";"33,06";"100,00";"24,37";"100,00";"25,45";"100,00";"21,13";"100,00";"29,71";"100,00";"37,54";"100,00";"39,24";"100,00";"35,60";"100,00";"30,29";"100,00";"32,31";"100,00";"32,21";"100,00";"33,19";"100,00";"31,68";"100,00";"31,42"
"MI";"51016";"    Rosário Oeste";"100,00";"22,70";"100,00";"17,66";"100,00";"17,80";"100,00";"19,25";"100,00";"13,07";"100,00";"17,84";"100,00";"24,40";"100,00";"26,98";"100,00";"23,28";"100,00";"8,93";"100,00";"5,99";"100,00";"17,44";"100,00";"27,38";"100,00";"25,01";"100,00";"23,79";"100,00";"15,00";"100,00";"11,16";"100,00";"16,14";"100,00";"20,23";"100,00";"22,46";"100,00";"24,96";"100,00";"16,13";"100,00";"22,99";"100,00";"28,37"
"MU";"5100102";"      Acorizal";"100,00";"24,13";"100,00";"36,34";"100,00";"17,33";"100,00";"26,50";"100,00";"11,28";"100,00";"20,96";"100,00";"33,95";"100,00";"16,64";"100,00";"14,16";"100,00";"14,65";"100,00";"24,39";"100,00";"33,33";"100,00";"39,34";"100,00";"31,75";"100,00";"31,55";"100,00";"31,55";"100,00";"20,33";"100,00";"20,33";"100,00";"18,18";"100,00";"18,18";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-"
"MU";"5104906";"      Jangada";"100,00";"17,57";"100,00";"16,14";"100,00";"16,37";"100,00";"18,55";"100,00";"17,69";"100,00";"18,30";"100,00";"27,59";"100,00";"34,65";"100,00";"37,88";"100,00";"19,74";"100,00";"4,46";"100,00";"5,49";"100,00";"12,27";"100,00";"10,04";"100,00";"23,42";"100,00";"9,91";"100,00";"11,45";"100,00";"12,33";"100,00";"12,52";"100,00";"10,07";"100,00";"25,14";"100,00";"22,52";"100,00";"18,10";"100,00";"5,91"
"MU";"5107701";"      Rosário Oeste";"100,00";"26,69";"100,00";"10,49";"100,00";"20,02";"100,00";"17,83";"100,00";"10,34";"100,00";"17,39";"100,00";"21,13";"100,00";"25,36";"100,00";"18,78";"100,00";"4,51";"100,00";"6,38";"100,00";"19,06";"100,00";"28,11";"100,00";"25,92";"100,00";"23,72";"100,00";"15,02";"100,00";"11,07";"100,00";"16,21";"100,00";"20,54";"100,00";"23,03";"100,00";"25,05";"100,00";"15,72";"100,00";"23,49";"100,00";"30,06"
"MI";"51017";"    Cuiabá";"100,00";"25,76";"100,00";"20,61";"100,00";"24,80";"100,00";"26,32";"100,00";"30,15";"100,00";"28,81";"100,00";"28,31";"100,00";"30,21";"100,00";"32,08";"100,00";"31,32";"100,00";"30,23";"100,00";"24,98";"100,00";"35,02";"100,00";"35,29";"100,00";"30,97";"100,00";"29,75";"100,00";"29,38";"100,00";"28,03";"100,00";"34,98";"100,00";"34,08";"100,00";"32,94";"100,00";"27,37";"100,00";"30,71";"100,00";"30,18"
"MU";"5103007";"      Chapada dos Guimarães";"100,00";"22,63";"100,00";"18,02";"100,00";"7,23";"100,00";"25,66";"100,00";"33,32";"100,00";"36,72";"100,00";"29,42";"100,00";"36,32";"100,00";"42,83";"100,00";"33,85";"100,00";"28,13";"100,00";"25,33";"100,00";"36,69";"100,00";"38,78";"100,00";"31,08";"100,00";"30,30";"100,00";"29,83";"100,00";"18,15";"100,00";"38,91";"100,00";"38,62";"100,00";"32,41";"100,00";"34,37";"100,00";"30,43";"100,00";"29,91"
"MU";"5103403";"      Cuiabá";"100,00";"49,88";"100,00";"53,54";"100,00";"53,00";"100,00";"43,76";"100,00";"31,22";"100,00";"28,12";"100,00";"36,26";"100,00";"39,83";"100,00";"25,58";"100,00";"23,08";"100,00";"39,11";"100,00";"26,42";"100,00";"42,05";"100,00";"43,48";"100,00";"40,00";"100,00";"43,48";"100,00";"39,84";"100,00";"43,48";"100,00";"43,48";"100,00";"43,48";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"21,94"
"MU";"5106109";"      Nossa Senhora do Livramento";"100,00";"32,03";"100,00";"41,76";"100,00";"40,98";"100,00";"40,75";"100,00";"39,65";"100,00";"36,18";"100,00";"32,26";"100,00";"36,70";"100,00";"27,67";"100,00";"28,33";"100,00";"35,11";"100,00";"36,39";"100,00";"39,23";"100,00";"43,48";"100,00";"30,11";"100,00";"22,44";"100,00";"22,99";"100,00";"17,18";"100,00";"27,69";"100,00";"36,28";"100,00";"37,93";"100,00";"10,63";"100,00";"30,83";"100,00";"19,05"
"MU";"5107800";"      Santo Antônio de Leverger";"100,00";"23,13";"100,00";"12,77";"100,00";"30,44";"100,00";"24,52";"100,00";"27,61";"100,00";"23,27";"100,00";"27,04";"100,00";"25,79";"100,00";"27,44";"100,00";"30,17";"100,00";"31,54";"100,00";"24,08";"100,00";"32,98";"100,00";"31,90";"100,00";"30,73";"100,00";"29,68";"100,00";"29,24";"100,00";"36,27";"100,00";"29,89";"100,00";"27,81";"100,00";"34,55";"100,00";"21,16";"100,00";"31,18";"100,00";"33,28"
"MU";"5108402";"      Várzea Grande";"100,00";"16,17";"100,00";"11,28";"100,00";"13,79";"100,00";"14,93";"100,00";"15,60";"100,00";"13,27";"100,00";"12,14";"100,00";"24,00";"100,00";"23,89";"100,00";"23,89";"100,00";"32,43";"100,00";"22,62";"100,00";"43,37";"100,00";"17,99";"100,00";"20,26";"100,00";"19,63";"100,00";"34,25";"100,00";"37,31";"100,00";"41,32";"100,00";"38,17";"100,00";"45,05";"100,00";"45,87";"100,00";"45,87";"100,00";"46,73"
"MI";"51018";"    Alto Pantanal";"100,00";"33,87";"100,00";"36,19";"100,00";"38,70";"100,00";"39,80";"100,00";"26,43";"100,00";"22,02";"100,00";"22,77";"100,00";"26,14";"100,00";"31,15";"100,00";"27,61";"100,00";"32,02";"100,00";"41,49";"100,00";"29,00";"100,00";"28,50";"100,00";"29,97";"100,00";"8,79";"100,00";"10,58";"100,00";"10,48";"100,00";"10,04";"100,00";"9,75";"100,00";"8,89";"100,00";"11,71";"100,00";"13,36";"100,00";"14,13"
"MU";"5101605";"      Barão de Melgaço";"100,00";"46,19";"100,00";"48,34";"100,00";"44,69";"100,00";"38,74";"100,00";"59,23";"100,00";"42,74";"100,00";"32,13";"100,00";"33,20";"100,00";"36,73";"100,00";"42,28";"100,00";"50,42";"100,00";"55,33";"100,00";"63,93";"100,00";"63,69";"100,00";"38,76";"100,00";"38,76";"100,00";"25,00";"100,00";"25,00";"100,00";"25,00";"100,00";"25,00";"100,00";"-";"100,00";"-";"100,00";"33,33";"100,00";"33,33"
"MU";"5102504";"      Cáceres";"100,00";"43,29";"100,00";"51,37";"100,00";"56,13";"100,00";"60,12";"100,00";"34,54";"100,00";"26,97";"100,00";"29,80";"100,00";"34,35";"100,00";"38,60";"100,00";"38,42";"100,00";"43,32";"100,00";"45,33";"100,00";"45,35";"100,00";"44,09";"100,00";"48,65";"100,00";"15,91";"100,00";"21,46";"100,00";"20,28";"100,00";"17,58";"100,00";"15,78";"100,00";"13,48";"100,00";"23,06";"100,00";"21,71";"100,00";"21,13"
"MU";"5103437";"      Curvelândia";"...";"...";"100,00";"25,32";"100,00";"26,28";"100,00";"29,67";"100,00";"29,10";"100,00";"23,04";"100,00";"9,24";"100,00";"19,35";"100,00";"9,48";"100,00";"9,83";"100,00";"11,17";"100,00";"11,24";"100,00";"6,13";"100,00";"6,11";"100,00";"0,95";"100,00";"0,24";"100,00";"0,27";"100,00";"0,09";"100,00";"0,27";"100,00";"0,30";"100,00";"0,47";"100,00";"0,42";"100,00";"0,42";"100,00";"11,17"
"MU";"5106505";"      Poconé";"100,00";"9,39";"100,00";"8,78";"100,00";"8,84";"100,00";"17,71";"100,00";"8,56";"100,00";"9,39";"100,00";"10,11";"100,00";"10,60";"100,00";"17,56";"100,00";"10,09";"100,00";"11,65";"100,00";"34,75";"100,00";"4,07";"100,00";"11,07";"100,00";"8,04";"100,00";"7,64";"100,00";"4,42";"100,00";"5,63";"100,00";"5,55";"100,00";"3,40";"100,00";"5,46";"100,00";"3,79";"100,00";"5,50";"100,00";"4,44"
"ME";"5105";"  Sudeste Mato-grossense";"100,00";"13,16";"100,00";"10,67";"100,00";"10,30";"100,00";"10,89";"100,00";"9,49";"100,00";"10,18";"100,00";"13,36";"100,00";"18,54";"100,00";"18,91";"100,00";"19,05";"100,00";"21,38";"100,00";"19,04";"100,00";"23,13";"100,00";"24,77";"100,00";"25,31";"100,00";"26,45";"100,00";"25,47";"100,00";"25,51";"100,00";"24,83";"100,00";"24,36";"100,00";"24,89";"100,00";"27,47";"100,00";"29,94";"100,00";"31,87"
"MI";"51019";"    Primavera do Leste";"100,00";"15,38";"100,00";"13,60";"100,00";"12,76";"100,00";"12,51";"100,00";"10,16";"100,00";"13,11";"100,00";"16,85";"100,00";"22,94";"100,00";"23,21";"100,00";"21,82";"100,00";"24,44";"100,00";"21,51";"100,00";"23,31";"100,00";"25,16";"100,00";"25,72";"100,00";"24,49";"100,00";"24,31";"100,00";"24,23";"100,00";"21,96";"100,00";"22,16";"100,00";"22,38";"100,00";"27,89";"100,00";"30,37";"100,00";"33,47"
"MU";"5102678";"      Campo Verde";"100,00";"14,90";"100,00";"15,14";"100,00";"13,86";"100,00";"15,75";"100,00";"14,49";"100,00";"20,34";"100,00";"23,32";"100,00";"25,31";"100,00";"26,10";"100,00";"24,09";"100,00";"25,38";"100,00";"20,94";"100,00";"23,63";"100,00";"24,39";"100,00";"25,23";"100,00";"22,96";"100,00";"22,32";"100,00";"22,31";"100,00";"22,72";"100,00";"20,98";"100,00";"21,03";"100,00";"23,37";"100,00";"24,27";"100,00";"26,10"
"MU";"5107040";"      Primavera do Leste";"100,00";"15,72";"100,00";"12,55";"100,00";"11,94";"100,00";"10,22";"100,00";"6,97";"100,00";"7,33";"100,00";"10,96";"100,00";"21,00";"100,00";"20,97";"100,00";"20,14";"100,00";"23,68";"100,00";"21,99";"100,00";"23,05";"100,00";"25,78";"100,00";"26,15";"100,00";"25,81";"100,00";"26,18";"100,00";"26,06";"100,00";"21,28";"100,00";"23,21";"100,00";"23,65";"100,00";"31,78";"100,00";"35,25";"100,00";"39,09"
"MI";"51020";"    Tesouro";"100,00";"13,03";"100,00";"8,50";"100,00";"6,43";"100,00";"9,61";"100,00";"8,20";"100,00";"6,85";"100,00";"9,41";"100,00";"15,35";"100,00";"18,38";"100,00";"19,68";"100,00";"18,22";"100,00";"17,54";"100,00";"23,25";"100,00";"24,98";"100,00";"25,57";"100,00";"28,07";"100,00";"25,26";"100,00";"28,58";"100,00";"26,36";"100,00";"24,99";"100,00";"26,64";"100,00";"27,88";"100,00";"31,77";"100,00";"32,30"
"MU";"5101209";"      Araguainha";"100,00";"45,45";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"22,73";"100,00";"1,35";"100,00";"9,62";"100,00";"5,56";"100,00";"11,21";"100,00";"15,58";"100,00";"18,75";"100,00";"-";"100,00";"30,77";"100,00";"30,77";"100,00";"32,11";"100,00";"13,04";"100,00";"16,00";"100,00";"16,00";"100,00";"16,00";"100,00";"7,64";"100,00";"7,64";"100,00";"20,66";"100,00";"28,27";"100,00";"28,27"
"MU";"5103908";"      General Carneiro";"100,00";"8,02";"100,00";"3,98";"100,00";"4,01";"100,00";"5,88";"100,00";"2,43";"100,00";"1,54";"100,00";"1,01";"100,00";"0,58";"100,00";"20,22";"100,00";"21,67";"100,00";"16,36";"100,00";"15,66";"100,00";"17,21";"100,00";"23,68";"100,00";"27,87";"100,00";"26,48";"100,00";"24,87";"100,00";"27,96";"100,00";"26,26";"100,00";"25,05";"100,00";"32,07";"100,00";"28,22";"100,00";"33,09";"100,00";"33,09"
"MU";"5104203";"      Guiratinga";"100,00";"17,85";"100,00";"5,87";"100,00";"2,59";"100,00";"6,11";"100,00";"8,44";"100,00";"6,43";"100,00";"11,17";"100,00";"21,02";"100,00";"18,37";"100,00";"18,66";"100,00";"16,12";"100,00";"13,52";"100,00";"24,25";"100,00";"25,97";"100,00";"24,08";"100,00";"31,09";"100,00";"25,26";"100,00";"28,33";"100,00";"24,94";"100,00";"24,18";"100,00";"25,04";"100,00";"25,54";"100,00";"32,13";"100,00";"31,80"
"MU";"5106653";"      Pontal do Araguaia";"100,00";"28,24";"100,00";"56,90";"100,00";"27,49";"100,00";"21,05";"100,00";"4,34";"100,00";"3,68";"100,00";"22,73";"100,00";"25,00";"100,00";"25,00";"100,00";"33,33";"100,00";"29,41";"100,00";"29,41";"100,00";"11,54";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"64,00";"100,00";"31,88";"100,00";"31,74";"100,00";"14,12";"100,00";"10,18";"100,00";"14,75";"100,00";"14,75"
"MU";"5106703";"      Ponte Branca";"100,00";"33,90";"100,00";"33,90";"100,00";"35,09";"100,00";"53,33";"100,00";"15,75";"100,00";"6,65";"100,00";"9,81";"100,00";"30,00";"100,00";"33,33";"100,00";"33,33";"100,00";"30,00";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-";"100,00";"-"
"MU";"5107008";"      Poxoréu";"100,00";"15,20";"100,00";"16,51";"100,00";"13,10";"100,00";"17,97";"100,00";"14,33";"100,00";"13,25";"100,00";"14,90";"100,00";"20,91";"100,00";"17,07";"100,00";"20,50";"100,00";"20,60";"100,00";"20,60";"100,00";"23,93";"100,00";"26,53";"100,00";"27,67";"100,00";"26,87";"100,00";"26,78";"100,00";"30,32";"100,00";"26,95";"100,00";"24,75";"100,00";"24,80";"100,00";"28,06";"100,00";"35,65";"100,00";"34,00"
"MU";"5107198";"      Ribeirãozinho";"100,00";"0,65";"100,00";"1,51";"100,00";"1,53";"100,00";"0,91";"100,00";"1,33";"100,00";"0,43";"100,00";"0,61";"100,00";"4,99";"100,00";"12,18";"100,00";"16,42";"100,00";"21,26";"100,00";"30,23";"100,00";"42,69";"100,00";"26,71";"100,00";"17,81";"100,00";"23,87";"100,00";"25,67";"100,00";"31,11";"100,00";"26,57";"100,00";"30,76";"100,00";"30,76";"100,00";"43,19";"100,00";"28,90";"100,00";"32,44"
"MU";"5108105";"      Tesouro";"100,00";"8,64";"100,00";"6,90";"100,00";"8,28";"100,00";"8,27";"100,00";"10,02";"100,00";"9,82";"100,00";"10,19";"100,00";"16,56";"100,00";"23,02";"100,00";"22,72";"100,00";"22,85";"100,00";"19,50";"100,00";"24,87";"100,00";"25,32";"100,00";"28,84";"100,00";"37,72";"100,00";"29,62";"100,00";"30,16";"100,00";"35,75";"100,00";"29,71";"100,00";"29,71";"100,00";"30,44";"100,00";"29,64";"100,00";"37,30"
"MU";"5108204";"      Torixoréu";"100,00";"1,41";"100,00";"2,08";"100,00";"1,36";"100,00";"3,28";"100,00";"1,04";"100,00";"1,05";"100,00";"1,01";"100,00";"1,20";"100,00";"4,40";"100,00";"0,89";"100,00";"6,07";"100,00";"0,35";"100,00";"7,32";"100,00";"10,55";"100,00";"14,12";"100,00";"13,19";"100,00";"6,80";"100,00";"8,45";"100,00";"9,06";"100,00";"12,51";"100,00";"11,97";"100,00";"12,10";"100,00";"18,68";"100,00";"18,13"
"MI";"51021";"    Rondonópolis";"100,00";"9,82";"100,00";"8,04";"100,00";"8,55";"100,00";"10,71";"100,00";"10,87";"100,00";"10,37";"100,00";"13,89";"100,00";"16,12";"100,00";"15,08";"100,00";"16,57";"100,00";"19,99";"100,00";"17,44";"100,00";"24,14";"100,00";"25,47";"100,00";"26,04";"100,00";"27,99";"100,00";"26,67";"100,00";"28,75";"100,00";"26,31";"100,00";"25,56";"100,00";"26,07";"100,00";"27,04";"100,00";"30,46";"100,00";"31,35"
"MU";"5103601";"      Dom Aquino";"100,00";"11,82";"100,00";"15,46";"100,00";"17,47";"100,00";"23,06";"100,00";"20,75";"100,00";"21,00";"100,00";"24,35";"100,00";"25,11";"100,00";"20,41";"100,00";"19,79";"100,00";"23,56";"100,00";"20,63";"100,00";"23,74";"100,00";"19,12";"100,00";"20,37";"100,00";"22,87";"100,00";"20,11";"100,00";"23,31";"100,00";"19,30";"100,00";"20,69";"100,00";"20,86";"100,00";"23,44";"100,00";"21,73";"100,00";"21,11"
"MU";"5104609";"      Itiquira";"100,00";"8,63";"100,00";"5,57";"100,00";"4,62";"100,00";"6,86";"100,00";"9,42";"100,00";"7,03";"100,00";"8,92";"100,00";"11,38";"100,00";"9,78";"100,00";"13,81";"100,00";"21,82";"100,00";"19,47";"100,00";"27,87";"100,00";"29,40";"100,00";"31,28";"100,00";"32,97";"100,00";"31,77";"100,00";"37,19";"100,00";"31,69";"100,00";"31,19";"100,00";"32,02";"100,00";"32,21";"100,00";"33,82";"100,00";"35,69"
"MU";"5104807";"      Jaciara";"100,00";"13,01";"100,00";"14,55";"100,00";"12,50";"100,00";"15,58";"100,00";"13,06";"100,00";"14,42";"100,00";"17,30";"100,00";"20,72";"100,00";"19,48";"100,00";"17,07";"100,00";"20,56";"100,00";"16,48";"100,00";"19,03";"100,00";"19,54";"100,00";"17,85";"100,00";"18,95";"100,00";"18,86";"100,00";"18,22";"100,00";"19,56";"100,00";"16,24";"100,00";"17,21";"100,00";"20,39";"100,00";"26,34";"100,00";"25,26"
"MU";"5105200";"      Juscimeira";"100,00";"18,23";"100,00";"14,16";"100,00";"14,25";"100,00";"12,37";"100,00";"14,33";"100,00";"16,54";"100,00";"26,95";"100,00";"26,81";"100,00";"23,81";"100,00";"21,49";"100,00";"21,72";"100,00";"18,52";"100,00";"18,14";"100,00";"20,46";"100,00";"24,16";"100,00";"25,10";"100,00";"25,92";"100,00";"27,16";"100,00";"26,56";"100,00";"24,08";"100,00";"22,05";"100,00";"23,99";"100,00";"24,71";"100,00";"25,93"
"MU";"5106372";"      Pedra Preta";"100,00";"6,08";"100,00";"3,82";"100,00";"8,95";"100,00";"11,16";"100,00";"10,39";"100,00";"8,48";"100,00";"12,10";"100,00";"11,11";"100,00";"14,90";"100,00";"16,82";"100,00";"14,69";"100,00";"10,47";"100,00";"14,76";"100,00";"21,53";"100,00";"23,82";"100,00";"25,09";"100,00";"27,37";"100,00";"24,42";"100,00";"23,37";"100,00";"22,01";"100,00";"22,57";"100,00";"23,39";"100,00";"29,00";"100,00";"28,32"
"MU";"5107602";"      Rondonópolis";"100,00";"9,55";"100,00";"6,29";"100,00";"6,53";"100,00";"6,37";"100,00";"5,60";"100,00";"8,04";"100,00";"11,17";"100,00";"17,94";"100,00";"17,65";"100,00";"18,31";"100,00";"15,90";"100,00";"15,94";"100,00";"27,31";"100,00";"26,92";"100,00";"24,06";"100,00";"27,94";"100,00";"23,38";"100,00";"24,88";"100,00";"24,88";"100,00";"24,55";"100,00";"25,12";"100,00";"25,12";"100,00";"33,66";"100,00";"35,69"
"MU";"5107297";"      São José do Povo";"100,00";"30,77";"100,00";"38,46";"100,00";"38,46";"100,00";"47,37";"100,00";"39,41";"100,00";"37,91";"100,00";"46,88";"100,00";"13,11";"100,00";"21,62";"100,00";"24,39";"100,00";"41,67";"100,00";"41,67";"100,00";"41,67";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"62,50";"100,00";"6,20";"100,00";"6,20"
"MU";"5107404";"      São Pedro da Cipa";"100,00";"3,20";"100,00";"5,21";"100,00";"3,48";"100,00";"2,61";"100,00";"1,96";"100,00";"2,89";"100,00";"1,93";"100,00";"1,94";"100,00";"2,03";"100,00";"1,59";"100,00";"1,61";"100,00";"2,67";"100,00";"2,76";"100,00";"20,02";"100,00";"45,66";"100,00";"36,90";"100,00";"33,26";"100,00";"44,38";"100,00";"44,38";"100,00";"36,04";"100,00";"39,79";"100,00";"39,32";"100,00";"32,97";"100,00";"32,87"
"MI";"51022";"    Alto Araguaia";"100,00";"15,93";"100,00";"11,85";"100,00";"11,78";"100,00";"8,59";"100,00";"6,08";"100,00";"6,41";"100,00";"8,12";"100,00";"16,44";"100,00";"17,37";"100,00";"17,16";"100,00";"20,96";"100,00";"17,69";"100,00";"19,52";"100,00";"21,47";"100,00";"22,40";"100,00";"26,05";"100,00";"25,98";"100,00";"17,53";"100,00";"27,15";"100,00";"26,50";"100,00";"26,51";"100,00";"26,84";"100,00";"25,39";"100,00";"28,18"
"MU";"5100300";"      Alto Araguaia";"100,00";"14,19";"100,00";"13,02";"100,00";"7,02";"100,00";"8,83";"100,00";"4,03";"100,00";"3,31";"100,00";"5,02";"100,00";"18,79";"100,00";"12,18";"100,00";"11,31";"100,00";"26,57";"100,00";"14,83";"100,00";"17,68";"100,00";"22,17";"100,00";"18,84";"100,00";"27,04";"100,00";"21,54";"100,00";"22,10";"100,00";"23,95";"100,00";"21,65";"100,00";"21,71";"100,00";"19,50";"100,00";"17,44";"100,00";"17,58"
