"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MI";"51002";"    Alta Floresta";"50814";"9900";"30470";"7250";"28250";"7700";"22581";"7451";"25834";"7900";"31085";"7820";"18281";"7845";"15013";"7545";"17245";"7920";"15827";"5600";"13212";"3300";"11643";"2550";"6087";"1318";"16188";"2750";"22361";"4040";"32260";"7118";"32289";"6505";"47209";"14165";"54738";"16890";"73759";"24070";"91451";"27070";"100314";"26271";"166827";"44540";"297160";"122659"
"MU";"5100250";"      Alta Floresta";"12223";"1500";"10142";"2000";"8225";"1000";"5840";"1000";"6548";"800";"11721";"800";"4140";"1095";"2930";"1095";"4228";"750";"4090";"250";"5101";"800";"3970";"600";"1556";"200";"7814";"1050";"10548";"2150";"18076";"4018";"17361";"3400";"28376";"9308";"34097";"12000";"41691";"15000";"43238";"15000";"43853";"11021";"76514";"20000";"133209";"58507"
"MU";"5100805";"      Apiacás";"2500";"1000";"2223";"650";"2290";"800";"2270";"1000";"3900";"1600";"3360";"1600";"3450";"1700";"2172";"1700";"2545";"1900";"1695";"1200";"1095";"600";"1410";"800";"945";"300";"725";"150";"82";"-";"150";"-";"262";"-";"55";"-";"59";"-";"28";"-";"31";"-";"1509";"400";"2051";"400";"3043";"1250"
"MU";"5102793";"      Carlinda";"11400";"1300";"3850";"1000";"3268";"1000";"3262";"1201";"3041";"1000";"3827";"1040";"2162";"1000";"1512";"500";"1042";"420";"1182";"500";"1154";"200";"960";"150";"1045";"150";"3380";"600";"7570";"1250";"8475";"1800";"8659";"2050";"11038";"3474";"10790";"3500";"17081";"6000";"20240";"6000";"20417";"6665";"28607";"8052";"49673";"21902"
"MU";"5106158";"      Nova Bandeirantes";"6116";"1400";"1640";"600";"1886";"600";"1999";"650";"2119";"700";"2419";"700";"1864";"900";"1944";"1000";"1170";"600";"3070";"950";"2574";"750";"2103";"50";"721";"168";"1231";"240";"557";"20";"453";"100";"330";"5";"455";"55";"351";"90";"392";"70";"638";"70";"1488";"350";"6863";"1480";"21756";"8000"
"MU";"5108956";"      Nova Monte Verde";"4310";"2000";"4250";"1500";"4770";"1800";"2760";"1300";"2920";"1400";"3010";"1500";"3510";"1800";"3600";"1900";"4540";"2200";"2790";"1500";"583";"450";"684";"400";"683";"400";"923";"400";"746";"200";"1106";"200";"1422";"50";"2627";"305";"3687";"300";"2893";"-";"5344";"-";"11071";"1835";"23095";"6157";"42083";"12000"
"MU";"5106299";"      Paranaíta";"14265";"2700";"8365";"1500";"7811";"2500";"6450";"2300";"7306";"2400";"6748";"2180";"3155";"1350";"2855";"1350";"3720";"2050";"3000";"1200";"2705";"500";"2516";"550";"1137";"100";"2115";"310";"2858";"420";"4000";"1000";"4255";"1000";"4658";"1023";"5754";"1000";"11674";"3000";"21960";"6000";"21976";"6000";"29697";"8451";"47396";"21000"
"MI";"51003";"    Colíder";"95464";"16000";"63295";"11100";"58177";"9980";"59358";"18431";"67294";"16395";"80331";"12970";"43322";"11180";"36537";"9433";"50757";"17300";"44667";"14900";"59732";"10670";"56338";"9334";"88029";"23550";"147848";"39702";"195105";"39150";"220964";"45672";"242792";"59700";"266816";"76113";"253583";"65500";"358314";"114409";"385767";"124700";"424458";"134953";"500565";"163843";"607064";"224220"
"MU";"5103205";"      Colíder";"6686";"1300";"4392";"2000";"3706";"400";"290";"100";"1237";"178";"3960";"700";"1373";"400";"1649";"520";"4253";"3000";"5253";"3500";"627";"50";"1772";"200";"3498";"1100";"5908";"1450";"7440";"2300";"11689";"2820";"14670";"3000";"19897";"6840";"17809";"5000";"24642";"8440";"26134";"9000";"30346";"9662";"39251";"10526";"50835";"14000"
"MU";"5104104";"      Guarantã do Norte";"16041";"3050";"5033";"2150";"5326";"2500";"7765";"4200";"6113";"2100";"7720";"2000";"3655";"800";"3345";"400";"4345";"950";"3415";"900";"3636";"500";"3470";"500";"5545";"1300";"14435";"4300";"15835";"2300";"18903";"2548";"18302";"3500";"20610";"4000";"21410";"4300";"23613";"5900";"25110";"8000";"26210";"8800";"25510";"8800";"39158";"13000"
