Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 1974-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1974-01-01;1,3;2,2;11,4;25,6;21,7;20;86,5;82;3,6;
1974-01-02;1,7;3,7;0;26,2;20,2;13;83,5;72;2,6;
1974-01-03;2,7;6,3;0;27,2;21;17,5;79,5;69;2,9;
1974-01-04;3,2;10,3;0;27,7;21,3;16,6;76;63;4,6;
1974-01-05;3,8;6,4;0;27,8;23,5;18,6;78,3;69;2,4;
1974-01-06;2,5;4,9;,4;29,2;23,7;21,1;84,8;75;1,9;
1974-01-07;2,3;1;24,6;30,6;24,2;20;79,8;62;3,4;
1974-01-08;3,3;6,1;22,3;25,7;23,2;20,1;79,3;71;5,8;
1974-01-09;3,1;8,8;4,9;28,1;23,5;20,1;77,3;60;2,7;
1974-01-10;3,3;9,1;0;29,3;23,8;21,2;76,8;57;4,3;
1974-01-11;3,5;,2;9,3;22,2;20,2;19;89,8;86;3,1;
1974-01-12;,3;0;31,6;19,6;18;17;91;84;1,7;
1974-01-13;1,4;1,1;4,4;23,9;20,7;16,5;88,8;88;1,9;
1974-01-14;1,4;2;12,5;24,5;21,6;19,8;86,5;81;4,3;
1974-01-15;1,9;0;9,8;21,4;18,9;17,7;94,5;88;3,1;
1974-01-16;1;,2;13,8;22,2;19,7;17;89,3;84;2,7;
1974-01-17;1,4;,1;0;25,2;20,5;18,8;86,8;68;3,4;
1974-01-18;1,6;9,4;21,2;30,2;22,5;18;86,5;80;2,2;
1974-01-19;2;6,4;2,6;30,1;23,2;19;81,5;65;2,4;
1974-01-20;2,5;7,7;1,5;30,2;23,5;20;75;49;1,4;
1974-01-21;3,5;6;0;28,4;22,7;19,1;81,8;71;2,1;
1974-01-22;3;4,8;0;27,2;22,1;18,1;79;58;,7;
1974-01-23;1,7;8,7;11,2;28,7;22,3;18;78,8;65;1,6;
1974-01-24;3;8,7;0;29,2;22,3;17,9;77;59;2,1;
1974-01-25;3;9,3;0;30,1;22,9;17,5;76,8;49;1;
1974-01-26;3,5;9,3;5;29,7;23;20,2;79,5;53;2,1;
1974-01-27;3,2;4,5;37,8;28;22,2;19,2;83;77;2,1;
1974-01-28;2,9;10;21,1;28,3;23,5;19,5;78,3;59;2,8;
1974-01-29;3,4;8,2;0;28,4;23,3;20;79,5;61;2,6;
1974-01-30;2,6;3,6;3;25,3;19,9;18;80,5;64;2,6;
1974-01-31;2,4;2,9;3,4;25,3;20,2;16,6;80,3;72;1,7;
1974-02-01;2,2;0;3,6;24,5;20,6;17,9;89,3;79;0;
1974-02-02;,9;2,5;19,2;27,5;22;18,4;90,3;84;1,4;
1974-02-03;1,5;12;5,4;30,6;24,6;17,7;73,5;55;1,7;
1974-02-04;3,7;10,6;0;32,1;25,6;20;62;42;,5;
1974-02-05;5;11,3;0;32;24,8;20,1;71;45;,9;
1974-02-06;4,4;10,5;0;31,4;23,2;17,5;72,3;43;1,9;
1974-02-07;3,9;9;0;29,8;23;18,9;75,5;59;2,8;
1974-02-08;3,6;7;0;29,6;22,8;18;75,8;48;,7;
1974-02-09;3,3;11,3;0;29,4;22,5;18,4;74,8;58;2,4;
1974-02-10;4,1;5,8;0;29,1;21,7;17,6;74,8;47;,9;
1974-02-11;0;4,9;0;27,9;22,1;18;78,3;66;2,8;
1974-02-12;2,3;5,2;4,8;29,2;22,9;20;83,8;75;1,5;
1974-02-13;2,3;8,2;,6;30,2;22,9;20;80,8;65;2;
1974-02-14;2,9;7;0;31,7;23;18,1;77,3;49;1;
1974-02-15;3;6,4;0;30,4;23,7;20,1;82,8;74;1,4;
1974-02-16;2,7;9,3;0;30,5;23,8;20,1;80,8;71;1,9;
1974-02-17;3,5;6,9;0;30,3;23,7;20;84,8;72;4,3;
1974-02-18;2,6;5,6;25,4;29;23,1;17,9;71,5;57;,9;
1974-02-19;3,6;10,4;0;30,9;25;19;70,3;49;1;
1974-02-20;4,1;7;0;31,9;25,3;20,3;73,8;46;,9;
1974-02-21;3,1;8,8;1;32,5;24,2;20,5;79,3;59;2,1;
1974-02-22;4,2;8,6;13;31,6;23,8;19;76,8;49;2,4;
1974-02-23;3,1;5,4;0;28,8;22,6;18,6;87,3;81;4,1;
1974-02-24;2;9,3;69,9;28,9;22,8;19,8;75;54;3,4;
1974-02-25;3,6;4,2;2,7;24,5;20,8;19;82,3;70;3,6;
1974-02-26;2,6;10,9;1,8;25;20,5;17,5;77,8;66;3,2;
1974-02-27;3,5;9,4;0;25,6;20,1;16;79;64;3,3;
1974-02-28;3,6;9,7;0;28,7;21,3;16;69,5;43;1,7;
1974-03-01;2,9;7;0;28,9;21,6;17,4;79,5;63;,3;
1974-03-02;1,8;7,6;0;30,5;22,9;18,4;75,5;48;2,4;
1974-03-03;4,2;9,8;0;32;23,8;18,4;75,3;43;1,9;
1974-03-04;3,1;9,9;0;30;22,9;18,4;75;56;2,1;
1974-03-05;4;7,9;0;30,3;23,3;19;74,5;48;2,2;
1974-03-06;2,8;6,4;0;29,4;22,9;19;82,5;72;2,4;
1974-03-07;2,5;3,3;1;26,7;21,1;19;89,3;83;1,5;
1974-03-08;,1;5,4;3,2;27,1;21,3;17,5;80;59;2,6;
1974-03-09;2;6,5;10,9;27,3;21,8;18,4;82,5;70;1,9;
1974-03-10;2,7;7,3;0;28,3;22,3;18,5;80,8;61;2,4;
1974-03-11;2,3;6,1;34,6;29,3;21,9;18,3;82;55;1,9;
1974-03-12;1,7;4,3;18;27,5;22,5;19,4;83,5;66;2,6;
1974-03-13;1,8;7,3;19,2;28,7;23,6;20;78,8;58;1;
1974-03-14;2,5;1,8;15;25,6;22,5;20,5;86;72;2,4;
1974-03-15;1,4;7;24,5;28,8;23,4;19,5;84;66;1,9;
1974-03-16;2,6;8,9;0;29,6;25,5;21,5;69,5;59;2,8;
1974-03-17;4,3;0;0;25,3;21,1;19;91,8;73;2,4;
1974-03-18;1,4;0;20,1;21;19,2;18;93,5;91;2,4;
1974-03-19;,8;0;17,6;19,5;18,1;17;96,5;94;,7;
1974-03-20;3;0;21;19,1;18,1;16,5;96,5;95;1,9;
1974-03-21;,4;,1;31;22,7;19,8;18,2;93,8;89;2,1;
1974-03-22;1,2;2,4;,8;23,7;20,6;18,2;88,3;85;2,8;
1974-03-23;1,3;3,1;,2;26,3;21,5;18;83;74;2,6;
1974-03-24;2,3;3,9;0;26,8;21,8;19;89,5;77;1,7;
1974-03-25;,8;5,8;77,4;28,5;22,7;19,6;82,5;59;,9;
1974-03-26;2;2,8;5,4;22,2;19,7;18,3;82;74;3,4;
1974-03-27;2,5;5,9;0;25,2;19,6;17,4;81;60;2,1;
1974-03-28;2,5;9;0;27,4;19,8;14,6;79;58;2,2;
1974-03-29;3,5;5,8;0;27,3;19,7;16;85;59;1,4;
1974-03-30;1,9;6,7;0;28,8;21,1;17,1;78,8;53;2,1;
1974-03-31;2,5;7,9;0;29,7;22,4;17,5;82;57;2,6;
1974-04-01;2,4;8,4;0;28,7;23,2;18,3;73,3;57;,9;
1974-04-02;3,2;2,6;0;25,9;21,6;19,9;84,3;76;2,6;
1974-04-03;2,1;,3;0;23,8;20,5;18;87;80;1,6;
1974-04-04;1,6;3,6;0;28,1;21,9;19,3;88;84;,5;
1974-04-05;1,4;,9;22,7;22,7;19,7;18,4;90,3;89;1,9;
1974-04-06;1,4;3,1;6;22;19,1;16,9;81;84;2,1;
1974-04-07;1,7;3,9;0;23,3;19;16,9;85,5;76;2,6;
1974-04-08;2,1;8,9;0;24,7;18,2;13,3;83,3;74;3,6;
1974-04-09;2,9;3,1;0;23,8;18,7;15,2;79,8;60;,9;
1974-04-10;2;6,8;0;26,9;20;15,2;80,5;53;1;
1974-04-11;2;3,9;0;24,8;19,6;17,5;91,5;90;0;
1974-04-12;1,4;2,8;19,8;23,8;18,6;16,2;83,5;69;,9;
1974-04-13;2;1,6;0;20;17,9;15,3;90;88;1,5;
1974-04-14;1,1;5;0;25,5;18,7;15,5;83,8;68;1,9;
1974-04-15;1,8;8,3;0;25,3;17,6;12,4;81,5;56;1,4;
1974-04-16;3;9,3;0;24,7;18,5;14,5;78,5;62;3,1;
1974-04-17;2,6;5,8;0;24,9;19,2;15,2;80,5;70;1,9;
1974-04-18;1,9;8,8;0;25;19,8;16,1;76;58;2,4;
1974-04-19;3,7;9,4;0;24;18,6;14;75,8;58;2,2;
1974-04-20;3,5;2,5;4,6;21,7;18,1;16,9;85,5;82;2,8;
1974-04-21;2;7,7;0;23;18,4;15,1;81;66;1;
1974-04-22;1,2;6,7;0;26,7;19,8;15,7;81;61;1,7;
1974-04-23;3;7,7;0;26;19,8;15,2;80;62;1;
1974-04-24;2,6;1,5;0;22,4;19,4;16,9;88;79;1,7;
1974-04-25;1,7;4,7;0;24;20,5;18,8;84,8;69;5,3;
1974-04-26;2,7;0;6,1;19,8;15,4;14;87,3;86;1,5;
1974-04-27;2;7,2;0;18,4;14,4;11,6;82,8;60;4,6;
1974-04-28;1,8;4,9;2;18,5;14,9;13,1;84,5;72;1,6;
1974-04-29;1,9;8,9;0;21,6;16;12;80,5;60;2,1;
1974-04-30;2,3;8,3;0;24,3;17,9;12,7;71,3;56;3,8;
1974-05-01;3;9,4;,8;22,8;17,6;14,5;78,3;58;3,6;
1974-05-02;2,6;6,8;0;22,4;15,7;12;75,3;49;,9;
1974-05-03;2,4;9,2;0;23,4;16,2;10,4;71;46;0;
1974-05-04;2,2;8,4;0;23,7;16,9;11,4;66,5;46;,9;
1974-05-05;3,3;9,8;0;21,4;15,9;11,5;79,3;57;,9;
1974-05-06;2,7;3,4;3,6;19,4;15,6;13,6;87,3;80;3,8;
1974-05-07;1,7;2,3;0;20;16,3;13,6;84,5;74;2,1;
1974-05-08;1,9;6,1;0;22,4;17,1;14,8;76;52;3,4;
1974-05-09;2,4;6,9;1,4;20,9;16,8;15,5;83,8;65;0;
1974-05-10;1,8;6,9;0;22,8;16,8;13;82;57;1,2;
1974-05-11;1,8;8,3;0;24,2;18,1;14,7;84,5;62;1,4;
1974-05-12;1,6;7,1;0;27,2;20;14;69,3;44;2,7;
1974-05-13;3,5;1,7;2;21,4;18,3;17,2;85,5;69;1,7;
1974-05-14;1,3;9,8;,2;23,3;17,2;12,2;75;49;2,4;
1974-05-15;2,4;7,9;0;20,7;14,9;11,1;85,5;59;1,2;
1974-05-16;1,5;8,5;0;25,8;18,3;13,3;72,3;48;1,7;
1974-05-17;2,9;9,3;0;26,9;20;14;76;56;1,4;
1974-05-18;2,9;8,8;0;28;21,5;16;67,5;54;3,1;
1974-05-19;4,5;,2;0;22,1;19,4;17,6;80,5;68;1,2;
1974-05-20;3,7;7,8;0;25;19;15,6;82,3;70;1,7;
1974-05-21;1,1;5,4;0;23,5;18,6;15,8;83,5;61;,7;
1974-05-22;4,8;7,4;0;26,4;19,1;14;72,8;44;2,2;
1974-05-23;2,7;9,5;0;27,7;20,6;14,9;69;45;,9;
1974-05-24;3,5;9,1;0;26,7;21,2;15,6;65;50;,9;
1974-05-25;3,4;9;0;27;21,8;17;67,3;61;2,4;
1974-05-26;4,8;5,3;0;26,2;20,8;18,7;73,5;65;5,3;
1974-05-27;3,5;0;0;20,3;18,4;17;81,5;74;2,6;
1974-05-28;2,5;9,3;,1;19,1;14,4;11;67,3;56;4,3;
1974-05-29;2,5;9,2;0;19,4;13;3,7;72,8;47;1,7;
1974-05-30;3,3;5,4;0;20,4;15,4;11,8;78,3;59;2,4;
1974-05-31;2,6;5,7;0;18,7;15;13,6;84;67;1,4;
1974-06-01;2;9,2;0;23,2;15,8;9,5;67,5;45;1,9;
1974-06-02;3,2;1,4;0;18,3;15,4;12;81,5;70;1,6;
1974-06-03;1,8;3,2;,2;18,5;14,2;12,6;85,5;76;1,4;
1974-06-04;1,8;,4;0;18,9;15,6;12,1;84,5;76;1,4;
1974-06-05;,2;8,5;0;21,4;14,6;12,3;77,8;54;,7;
1974-06-06;3,8;6,2;0;21,6;16,8;12;79,8;69;2,6;
1974-06-07;2,8;2,2;4;20,7;18,2;16;87;78;3,4;
1974-06-08;1;6,8;5,2;26,8;21,3;16,3;64,8;52;4,6;
1974-06-09;5,3;8,3;0;26,5;22,1;18;57,3;52;8,3;
1974-06-10;6,7;3,8;2;23;16,8;14;91,5;55;1,4;
1974-06-11;1;,5;8;20,6;16,4;14,2;90,3;83;4;
1974-06-12;1,2;0;15,7;16,2;14,7;14;96,3;91;1,5;
1974-06-13;,6;0;2,3;12,8;11;10;86;80;1,7;
1974-06-14;,8;9;0;16,4;11,2;8,3;81,5;65;2,4;
1974-06-15;1,8;8,3;0;18,4;12,2;7,8;84;56;1,9;
1974-06-16;2,1;8,2;0;23,5;15;8,2;80,3;57;,7;
1974-06-17;1,5;9,3;0;24,6;17,8;10,2;67,8;46;1,2;
1974-06-18;3,6;5;0;21,1;17,2;15;89,8;72;2,2;
1974-06-19;5,4;6,6;,6;21,6;17,4;15;86,8;68;1,9;
1974-06-20;1,5;9,2;0;23,6;18,2;15;68,8;47;2,7;
1974-06-21;4,3;0;0;21,6;17,5;15,7;82,5;70;2,1;
1974-06-22;1,6;0;24,1;16,5;12,8;11,3;88,3;88;2,7;
1974-06-23;1,2;9,2;0;16,8;11,1;7,2;85;71;2,8;
1974-06-24;1,6;4,1;0;21;14,2;9;89;72;,5;
1974-06-25;1,1;7,4;44,4;20,8;16,6;13,8;89,3;82;4,8;
1974-06-26;1,5;0;14,4;15,8;14,3;12,3;85,3;87;3,8;
1974-06-27;1,5;4,3;2,4;18,8;13,7;12;83,3;64;2,4;
1974-06-28;1,4;3,9;,2;16,2;12,3;10,8;85,8;76;1,2;
1974-06-29;1,5;7,8;0;16,2;11,2;7,2;87;67;2,2;
1974-06-30;,9;8,2;0;17,7;12,3;8,6;79;64;1,2;
1974-07-01;1,6;8,8;,1;18,3;11,6;6,8;84;62;2,2;
1974-07-02;2;8;0;18,5;12,6;8,4;81,8;63;2,1;
1974-07-03;1,9;5,9;0;18,4;11,5;6,3;85;63;0;
1974-07-04;1,1;9,2;,1;22,1;14,1;6,4;73,3;50;,9;
1974-07-05;2,7;9,2;0;22,5;15;9,5;75,3;59;0;
1974-07-06;2,3;9,2;0;22,6;14,9;9;79,5;61;,7;
1974-07-07;3;8,6;0;23,2;15,4;9,5;76,8;48;,3;
1974-07-08;2,1;7,6;0;21,7;14,5;9;84,8;63;,9;
1974-07-09;1,8;6,7;0;21,8;15,8;12,6;81,8;58;0;
1974-07-10;1,6;6,5;0;21,5;15,3;11,8;81,5;52;,9;
1974-07-11;2,2;6,6;0;22,8;14,9;9,3;82;50;,7;
1974-07-12;1,4;7,3;,1;22,7;15,7;10,2;77,5;48;,9;
1974-07-13;2,3;9;0;23,7;16,5;12,2;69,5;48;0;
1974-07-14;3,1;7,9;0;23,5;17;12;69,5;50;1,9;
1974-07-15;3;8,4;0;24,8;17,8;11,9;68,8;44;0;
1974-07-16;3;8,7;0;24,6;18,1;12,4;60,5;42;0;
1974-07-17;4;9,3;0;24,2;17,6;11,8;59;44;1,4;
1974-07-18;4,6;9,3;0;24,9;20,2;15;50;41;3,1;
1974-07-19;7,3;1,1;0;22,8;19,5;18;81;52;3,4;
1974-07-20;,3;2,1;0;22,1;16,6;14,3;88,8;71;,7;
1974-07-21;1,7;7,2;0;26,7;18,1;14,8;82,3;45;3;
1974-07-22;2,5;0;0;18,8;16,2;15,3;89,3;83;3,1;
1974-07-23;1,9;0;0;17;15,4;13,6;89,3;82;2,6;
1974-07-24;1,1;4,8;,1;24,1;17,7;15;84,5;61;1,2;
1974-07-25;1,5;7;0;24,1;17,3;13;78,3;55;1,5;
1974-07-26;2,8;7,6;0;23,9;17,6;14,6;82,3;64;2,1;
1974-07-27;1,7;5,4;0;23,5;16,6;13,3;83,3;52;0;
1974-07-28;1,9;7,3;0;25;18,8;13,5;73;55;,7;
1974-07-29;2,4;9,4;0;26,1;19,8;14,6;62,5;42;,3;
1974-07-30;4,7;7,5;0;25,7;18,2;13,4;63,8;42;2;
1974-07-31;4;7,2;0;23,8;17,7;14,5;78;53;,7;
1974-08-01;1,8;8,7;0;26,6;18,8;12,7;62,8;null;2,3;
1974-08-02;4,7;10;0;26,9;19,8;14,4;58,3;null;1,7;
1974-08-03;6,1;10,1;0;27,1;19,7;15;57;null;,7;
1974-08-04;5,1;9,7;0;27;20;12,6;53;null;2,3;
1974-08-05;7,7;6,9;0;25,5;20,8;19,4;54;null;8;
1974-08-06;4,6;9,2;0;20,8;14,2;10,5;72,5;47;2;
1974-08-07;2,8;9,9;0;24,5;16,1;11,5;75,3;null;2,3;
1974-08-08;4,7;0;0;null;10,6;12;92,5;null;2;
1974-08-09;,5;0;1,8;15,7;14;13,1;93,5;null;3;
1974-08-10;1,1;4,1;,5;19,2;14,2;11,6;85,3;null;3,3;
1974-08-11;2,4;0;0;16,5;13,6;12;83,5;null;0;
1974-08-12;1,8;1,7;0;19;14,2;11,4;87,5;null;0;
1974-08-13;1;8,1;0;22;16,7;11,4;67,8;null;1,3;
1974-08-14;4,1;8,6;,6;23,7;19,1;14,5;66,3;null;5,3;
1974-08-15;5,4;5,1;0;22,2;18,9;15;73,8;null;8,7;
1974-08-16;2,4;0;0;19,2;10,7;8,1;82,8;null;1,3;
1974-08-17;1,6;9,9;0;22,7;14;4,3;60,8;null;2,3;
1974-08-18;5;6,6;,1;19,7;13,1;9,6;75,5;null;4,7;
1974-08-19;3,4;9,7;0;18,4;11,4;5,8;76,8;null;2;
1974-08-20;2,9;9,5;0;23,4;14,4;9,5;80,3;null;1,3;
1974-08-21;2,5;7,6;0;27,6;15,5;9;78;null;0;
1974-08-22;2,5;8;0;27;16,5;10,4;77,3;null;,7;
1974-08-23;2,8;8,9;0;28;18,6;12;73,3;null;,3;
1974-08-24;3,6;10;0;28,4;20,8;13,6;55,3;null;1;
1974-08-25;4,9;9,9;0;28;20;14;61;null;1;
1974-08-26;4,7;7,4;0;28,4;21,4;15,2;55,5;null;2,7;
1974-08-27;5;4,8;0;28;22,2;17,8;57,8;null;2,3;
1974-08-28;6,6;8,7;0;29,3;21,2;17,8;70;null;6;
1974-08-29;6;4,1;0;27,4;19,5;16,5;77,3;null;1;
1974-08-30;3,1;8;0;26,3;19,7;16,8;83;null;1;
1974-08-31;3,1;3,5;0;30,8;23,8;16,2;60;null;3,3;
1974-09-01;5,8;0;0;26,7;17,7;15,2;92;49;3;
1974-09-02;1,3;0;,3;15,8;13,5;12,7;92,8;87;2,7;
1974-09-03;1,5;0;,2;14,6;12,9;11,2;89,5;86;5,3;
1974-09-04;,8;0;6,8;17,2;15;12,6;94,3;90;1;
1974-09-05;1;5,9;0;27,8;17,5;14,3;80,5;46;2,7;
1974-09-06;2,5;0;0;15,2;12,9;11,9;91,8;92;4;
1974-09-07;1,4;1,6;,3;18,6;14,4;10,3;86;74;2,7;
1974-09-08;1,6;8,2;0;27,9;20,9;12,1;62,3;50;4;
1974-09-09;6;5,7;0;23,9;14,1;10,8;78,8;53;4;
1974-09-10;2,7;9,1;0;18,2;12;7;73,5;52;3,7;
1974-09-11;3,1;6,9;0;22,4;14,3;9,5;77,3;50;2;
1974-09-12;2,5;7,2;0;23,6;15,3;11,5;84,5;61;1,7;
1974-09-13;1,5;6,4;0;27;18,5;11,2;63;40;1,3;
1974-09-14;3,8;8,2;0;29,1;18,5;12;59,8;37;1,3;
1974-09-15;5;9,3;0;29,1;18,3;11,5;74,8;53;2,7;
1974-09-16;4,2;6,8;0;30,2;17,9;12;73,5;30;,7;
1974-09-17;3,7;5,4;0;27,2;17,8;11,7;81,5;56;,7;
1974-09-18;2,5;6,2;0;30,6;19,8;13,5;71,5;37;,7;
1974-09-19;4,4;0;0;19;17,2;16;88,8;83;1,3;
1974-09-20;1,4;6,5;1,6;23,2;17,9;15,3;85,5;75;5,3;
1974-09-21;2;7,4;0;26,9;19,4;15,3;77,5;45;1,3;
1974-09-22;2,6;8,2;0;29,1;20,6;13,9;66,3;48;0;
1974-09-23;4,9;9;0;24;18,7;13,4;79,8;66;3;
1974-09-24;3,3;8;0;29,7;22,3;17;69,5;58;2,7;
1974-09-25;4,4;9,8;0;31,8;24,2;16;49,5;42;,7;
1974-09-26;1,5;10;0;31,3;23,4;19,3;65,5;36;4;
1974-09-27;8,1;0;,1;25,4;20,7;19;81,3;62;,3;
1974-09-28;2,4;3,6;,1;27,4;19,8;17;89,5;84;1;
1974-09-29;1,6;0;33,5;19,3;16,1;14,8;86,3;77;2,3;
1974-09-30;1,8;0;,4;15,6;14,1;13,2;93;89;7,7;
1974-10-01;1;0;,1;17,6;15,1;13;92;85;2,7;
1974-10-02;,6;8;43,4;24,8;19,4;14,4;78,8;60;2,3;
1974-10-03;3,1;1,9;0;20,7;16,7;15;null;81;2;
1974-10-04;,9;0;6,6;18;16,7;14,3;92;96;1;
1974-10-05;,7;8,8;15,4;25,7;18,6;15,8;81,8;59;1,3;
1974-10-06;,3;1;0;20,9;18,2;14;80;75;,3;
1974-10-07;2,7;6,8;0;20,2;14,5;12,8;78,8;68;2,3;
1974-10-08;2,7;6;0;20,3;14,5;9,4;82;63;1,7;
1974-10-09;2,9;6,5;0;21,5;15,8;13;78,3;52;2;
1974-10-10;2,9;10,6;0;22,2;15,3;9,8;77;61;3;
1974-10-11;3,8;10,9;0;25,2;16,4;10,3;73;50;4;
1974-10-12;3,8;9,6;0;25,3;17,2;11,5;75;58;3,3;
1974-10-13;3,9;9,1;0;25,4;17,1;11,9;80,8;66;4,3;
1974-10-14;1,6;7,5;0;25,2;16,5;13,3;86,8;69;2;
1974-10-15;3;7,8;0;26,4;16,7;11,3;86;75;3,7;
1974-10-16;2,9;7;0;30,4;18,5;11,3;77,3;44;2,7;
1974-10-17;4,1;7,9;,2;26,4;21,5;16;77,5;69;6;
1974-10-18;5,2;8,9;0;28,2;21;18;86;81;3;
1974-10-19;3,2;,8;16,6;20,6;17,7;15;90,3;86;1,3;
1974-10-20;1,2;4,5;0;25,6;19,3;16;86,3;70;,7;
1974-10-21;2;6,3;0;26,6;20;16,3;85,3;80;3,3;
1974-10-22;3,2;4,4;0;22,2;17,1;14,2;87;78;3;
1974-10-23;2,8;9;0;29,8;21,3;13,3;74,5;54;1,3;
1974-10-24;5,2;4,5;0;28,7;20,9;16,9;88;79;3,7;
1974-10-25;1,8;,6;12,9;20,8;17,6;15,4;92,8;84;,7;
1974-10-26;,9;2,6;7,8;25,8;20,7;16,6;85,5;73;1,7;
1974-10-27;2,5;4;0;27,9;20,6;17,4;85;64;1,3;
1974-10-28;2,3;3,1;2,4;26,5;20,8;17,6;93;89;,3;
1974-10-29;2,2;1,6;46,6;24,7;19,5;17,7;88,5;88;2,3;
1974-10-30;,8;0;22,4;null;9,5;11,5;91,3;87;1,7;
1974-10-31;1,1;10,3;0;22,8;14,5;7;72,8;52;1;
1974-11-01;3,4;10,6;0;24;15,4;7;77,5;58;2,7;
1974-11-02;4,5;12;0;24,2;17,1;11,6;71,8;53;4,7;
1974-11-03;3,8;11,6;0;25,2;18,5;15,2;74,3;56;1,7;
1974-11-04;4;9,2;0;28,3;20,3;13,4;63,3;45;,3;
1974-11-05;5,6;9,5;0;29,5;23,5;13,8;53;40;6,3;
1974-11-06;8,1;,4;1,2;25;16,6;12,6;89;55;4,7;
1974-11-07;1,3;11,4;17;22,2;15,5;12,3;67,5;46;2,7;
1974-11-08;3,5;6,9;0;19;14,7;11,3;76,3;67;3,7;
1974-11-09;3,8;6,5;0;19,2;14,9;11,2;76,3;72;3,7;
1974-11-10;4,2;6,7;0;22,6;16,5;13;80;73;5,7;
1974-11-11;2,6;8,5;0;27,7;18,9;14,1;79,8;57;1,7;
1974-11-12;2,2;4,2;0;29;22,1;17;70,3;57;2,3;
1974-11-13;6,2;8,9;8,9;25,8;22,4;17,2;74;70;6,3;
1974-11-14;3,4;9;1,5;27,4;21;17,2;75,8;53;4,7;
1974-11-15;3,6;8,8;0;26;19,5;15,2;80;69;3,3;
1974-11-16;3,3;8,8;0;23,7;17,9;14,6;79,3;65;2;
1974-11-17;4;11,6;0;24,2;18;13,9;73,8;57;4,3;
1974-11-18;4,2;11,3;0;30,3;22,4;15,2;65,8;43;1,3;
1974-11-19;4,8;11,1;0;33,1;24,7;16,4;55,8;32;1,3;
1974-11-20;9;8,3;0;33;24,2;20;72,8;43;4;
1974-11-21;5;4,7;29,4;25;20,9;18,5;82;66;8,3;
1974-11-22;2,6;,1;36,2;21,5;17,5;15,2;89,5;87;3,3;
1974-11-23;1,6;9,3;,2;23;17,4;14,2;78,3;62;3,7;
1974-11-24;3,3;10,7;0;28,9;21,3;15;74,5;50;1,3;
1974-11-25;4,9;12,4;0;30,8;24,7;16,9;57;46;2,3;
1974-11-26;6,9;11,2;0;31,9;27,1;20,9;57,3;48;5,7;
1974-11-27;7,1;5,7;2,8;30,1;23,5;19,6;82,8;58;3,3;
1974-11-28;3,3;,8;19,1;24,2;20;18,2;89,3;79;2,7;
1974-11-29;1,2;2,4;4,2;26,6;21,1;17,7;86,8;68;,7;
1974-11-30;1,6;4,7;7,2;30,3;23,3;19,5;76,3;55;2;
1974-12-01;2,6;7,1;6,4;30;24,8;19,8;69;58;1;
1974-12-02;4,2;3;0;29;23,6;21,2;79;63;1,7;
1974-12-03;3,2;0;1,8;21,4;17,5;15,2;91,3;85;4,3;
1974-12-04;1;0;13,4;16;15,4;14,9;96,5;96;3,7;
1974-12-05;,9;0;11;18,8;16,3;14,4;88,5;86;4,3;
1974-12-06;1,4;5,2;0;21,6;17,4;15;80,8;68;5,3;
1974-12-07;2,8;6,8;0;23,1;17,7;14,1;81,5;70;6;
1974-12-08;3,3;10,1;0;24,6;18,5;13;78,8;64;4,7;
1974-12-09;3,7;9,9;0;28,3;21,8;15,6;69,8;46;2;
1974-12-10;4,8;4;0;26,8;20,6;18;79,3;74;1,7;
1974-12-11;3,1;0;,1;19,8;16,8;15;87;81;6,3;
1974-12-12;1,8;7,6;0;28,8;20,4;15,5;80,5;59;1,3;
1974-12-13;2,7;2,6;,4;26,6;21,9;19,3;83,8;77;2;
1974-12-14;1,6;0;27,6;20,9;18,1;16,7;94;87;2;
1974-12-15;1,2;0;3,2;19,4;17,6;15,6;90,8;90;1;
1974-12-16;,5;3,1;0;24,6;20,2;16,5;92,8;87;1,3;
1974-12-17;1,4;,3;43,1;22,9;21,2;19,4;83,5;83;4;
1974-12-18;1,8;0;8,7;21,3;18,5;17,1;95,5;82;1,3;
1974-12-19;,6;0;11,5;19,1;16,4;15,3;92,3;88;1,7;
1974-12-20;1,3;,1;,4;22,7;18,9;15,4;89,8;80;1,3;
1974-12-21;1,1;0;10,2;22,4;20;18,5;94,5;86;0;
1974-12-22;1;1,8;23,3;23,5;21,3;19;88,3;87;2,7;
1974-12-23;4,7;1,3;1,4;24,8;22,1;21,1;86,8;77;3,7;
1974-12-24;,3;9,6;4,5;28,9;22,6;19,9;74,5;58;2,7;
1974-12-25;3,1;9,6;0;27,2;21,4;18;81;67;2,7;
1974-12-26;3,5;7,5;0;29,3;22,7;19;84;73;2,7;
1974-12-27;2,1;8,5;0;29,8;24,4;19,5;74,5;63;3,7;
